Entity,Code,Year,intensive_agriculture
Tajikistan,TJK,0,Widespread
Tajikistan,TJK,1000,Widespread
Tajikistan,TJK,1500,Widespread
Tajikistan,TJK,1750,Widespread
Tajikistan,TJK,1850,Widespread
Tanzania,TZA,-8000,None
Tanzania,TZA,-6000,None
Tanzania,TZA,-4000,None
Tanzania,TZA,-2000,None
Tanzania,TZA,-1000,None
Tanzania,TZA,0,None
Tanzania,TZA,1000,Common
Tanzania,TZA,1500,Common
Tanzania,TZA,1750,Common
Tanzania,TZA,1850,Common
Thailand,THA,-8000,None
Thailand,THA,-6000,None
Thailand,THA,-4000,None
Thailand,THA,-2000,None
Thailand,THA,-1000,Minimal
Thailand,THA,0,Common
Thailand,THA,1000,Widespread
Thailand,THA,1500,Widespread
Thailand,THA,1750,Widespread
Thailand,THA,1850,Widespread
Togo,TGO,-8000,None
Togo,TGO,-6000,None
Togo,TGO,-4000,None
Togo,TGO,-2000,None
Togo,TGO,-1000,None
Togo,TGO,0,None
Togo,TGO,1000,Common
Togo,TGO,1500,Common
Togo,TGO,1750,Common
Togo,TGO,1850,Widespread
Trinidad and Tobago,TTO,-8000,None
Trinidad and Tobago,TTO,-6000,None
Trinidad and Tobago,TTO,-4000,None
Trinidad and Tobago,TTO,-2000,None
Trinidad and Tobago,TTO,-1000,None
Trinidad and Tobago,TTO,0,None
Trinidad and Tobago,TTO,1000,None
Trinidad and Tobago,TTO,1500,Minimal
Trinidad and Tobago,TTO,1750,Widespread
Trinidad and Tobago,TTO,1850,Widespread
Tunisia,TUN,-8000,None
Tunisia,TUN,-6000,None
Tunisia,TUN,-4000,None
Tunisia,TUN,-2000,Minimal
Tunisia,TUN,-1000,Minimal
Tunisia,TUN,0,Widespread
Tunisia,TUN,1000,Common
Tunisia,TUN,1500,Common
Tunisia,TUN,1750,Common
Tunisia,TUN,1850,Common
Turkey,TUR,-8000,None
Turkey,TUR,-6000,Minimal
Turkey,TUR,-4000,Common
Turkey,TUR,-2000,Common
Turkey,TUR,-1000,Widespread
Turkey,TUR,0,Widespread
Turkey,TUR,1000,Widespread
Turkey,TUR,1500,Widespread
Turkey,TUR,1750,Widespread
Turkey,TUR,1850,Widespread
Turkmenistan,TKM,-8000,None
Turkmenistan,TKM,-6000,None
Turkmenistan,TKM,-4000,None
Turkmenistan,TKM,-2000,Common
Turkmenistan,TKM,-1000,Widespread
Turkmenistan,TKM,0,Widespread
Turkmenistan,TKM,1000,Widespread
Turkmenistan,TKM,1500,Widespread
Turkmenistan,TKM,1750,Widespread
Turkmenistan,TKM,1850,Widespread
Uganda,UGA,-8000,None
Uganda,UGA,-6000,None
Uganda,UGA,-4000,None
Uganda,UGA,-2000,None
Uganda,UGA,-1000,None
Uganda,UGA,0,Minimal
Uganda,UGA,1000,Minimal
Uganda,UGA,1500,Common
Uganda,UGA,1750,Common
Uganda,UGA,1850,Common
Ukraine,UKR,-8000,None
Ukraine,UKR,-6000,None
Ukraine,UKR,-4000,Common
Ukraine,UKR,-2000,Common
Ukraine,UKR,-1000,Common
Ukraine,UKR,0,Widespread
Ukraine,UKR,1000,Common
Ukraine,UKR,1500,Widespread
Ukraine,UKR,1750,Widespread
Ukraine,UKR,1850,Widespread
United Arab Emirates,ARE,-8000,None
United Arab Emirates,ARE,-6000,None
United Arab Emirates,ARE,-4000,None
United Arab Emirates,ARE,-2000,None
United Arab Emirates,ARE,-1000,Common
United Arab Emirates,ARE,0,Common
United Arab Emirates,ARE,1000,Common
United Arab Emirates,ARE,1500,Common
United Arab Emirates,ARE,1750,Common
United Arab Emirates,ARE,1850,Common
United Kingdom,GBR,-8000,None
United Kingdom,GBR,-6000,None
United Kingdom,GBR,-4000,None
United Kingdom,GBR,-2000,Common
United Kingdom,GBR,-1000,Common
United Kingdom,GBR,0,Common
United Kingdom,GBR,1000,Widespread
United Kingdom,GBR,1500,Widespread
United Kingdom,GBR,1750,Widespread
United Kingdom,GBR,1850,Widespread
United States,USA,-8000,None
United States,USA,-6000,None
United States,USA,-4000,None
United States,USA,-2000,None
United States,USA,-1000,None
United States,USA,0,Minimal
United States,USA,1000,Common
United States,USA,1500,Common
United States,USA,1750,Widespread
United States,USA,1850,Common
Uzbekistan,UZB,-8000,None
Uzbekistan,UZB,-6000,None
Uzbekistan,UZB,-4000,None
Uzbekistan,UZB,-2000,Common
Uzbekistan,UZB,-1000,Widespread
Uzbekistan,UZB,0,Widespread
Uzbekistan,UZB,1000,Widespread
Uzbekistan,UZB,1500,Widespread
Uzbekistan,UZB,1750,Widespread
Uzbekistan,UZB,1850,Widespread
Vietnam,VNM,-8000,None
Vietnam,VNM,-6000,None
Vietnam,VNM,-4000,None
Vietnam,VNM,-2000,None
Vietnam,VNM,-1000,None
Vietnam,VNM,0,Common
Vietnam,VNM,1000,Common
Vietnam,VNM,1500,Widespread
Vietnam,VNM,1750,Widespread
Vietnam,VNM,1850,Widespread
Yemen,YEM,-8000,None
Yemen,YEM,-6000,None
Yemen,YEM,-4000,None
Yemen,YEM,-2000,None
Yemen,YEM,-1000,Common
Yemen,YEM,0,Common
Yemen,YEM,1000,Common
Yemen,YEM,1500,Common
Yemen,YEM,1750,Common
Yemen,YEM,1850,Common
Zambia,ZMB,-8000,None
Zambia,ZMB,-6000,None
Zambia,ZMB,-4000,None
Zambia,ZMB,-2000,None
Zambia,ZMB,-1000,None
Zambia,ZMB,0,None
Zambia,ZMB,1000,Minimal
Zambia,ZMB,1500,Minimal
Zambia,ZMB,1750,Minimal
Zambia,ZMB,1850,Common
Zimbabwe,ZWE,-8000,None
Zimbabwe,ZWE,-6000,None
Zimbabwe,ZWE,-4000,None
Zimbabwe,ZWE,-2000,None
Zimbabwe,ZWE,-1000,None
Zimbabwe,ZWE,0,None
Zimbabwe,ZWE,1000,Minimal
Zimbabwe,ZWE,1500,Minimal
Zimbabwe,ZWE,1750,Minimal
Zimbabwe,ZWE,1850,Common
