,daytime,user,text,file_content,reactions,replies_time,channel,replies_user,file_url
0,1623856011.000200,U021ZC6L676,<@U021ZC6L676> has joined the channel,False,0,0,berlin-get-together,0,0
1,1623856024.000400,U021ZC6JR28,<@U021ZC6JR28> has joined the channel,False,0,0,berlin-get-together,0,0
2,1623856059.000600,U021Q54K3B7,<@U021Q54K3B7> has joined the channel,False,0,0,berlin-get-together,0,0
3,1623856126.000800,U022VC1JD29,<@U022VC1JD29> has joined the channel,False,0,0,berlin-get-together,0,0
4,1623857394.001000,U021T7DU0BC,<@U021T7DU0BC> has joined the channel,False,0,0,berlin-get-together,0,0
5,1623917231.000200,U0225RGM941,<@U0225RGM941> has joined the channel,False,0,0,berlin-get-together,0,0
6,1623942716.000700,U021ZC6L676,anybody for a beer tomorrow after class at brlo?,False,0,0,berlin-get-together,0,0
7,1623942785.000900,U021ZC6L676,<https://g.page/brlo-brwhouse?share>,False,0,0,berlin-get-together,0,0
8,1623945951.001300,U022VC1JD29,I'd be up for that,False,0,0,berlin-get-together,0,0
9,1623997845.000200,U021ZC6L676,great!,False,0,0,berlin-get-together,0,0
10,1623998059.000500,U021ZC6JR28,I’m always in for BRLO :slightly_smiling_face:,False,0,0,berlin-get-together,0,0
11,1623998373.000900,U021Q54K3B7,"I think I can't today, but I happily join next time",False,0,0,berlin-get-together,0,0
12,1624006039.001200,U021TDMBPRR,<@U021TDMBPRR> has joined the channel,False,0,0,berlin-get-together,0,0
13,1624006069.001800,U021ZC6JR28,"<@U021TDMBPRR> - You are berlin based too, right? We will be meeting up in the BRLO beergarden later, if you care to join :slightly_smiling_face:",False,0,0,berlin-get-together,0,0
14,1624006079.002000,U021TDMBPRR,yes Berlin,False,0,0,berlin-get-together,0,0
15,1624006091.002400,U021TDMBPRR,today around when? thanks for the invitation,False,0,0,berlin-get-together,0,0
16,1624006122.003000,U021ZC6JR28,I guess a realistic time after class would be like 6:30pm? What does the rest think?,False,0,0,berlin-get-together,0,0
17,1624006158.003300,U021TDMBPRR,yea sure I would say that's ok for me,False,0,0,berlin-get-together,0,0
18,1624006518.003800,U021T7DU0BC,"I’m out tonight, too hot for me to leave the house :unamused:",False,0,0,berlin-get-together,0,0
19,1624014531.004500,U021ZC6L676,"6:30 sounds good, even before if we manage to finish earlier",False,0,0,berlin-get-together,0,0
